ensembl_gene_id	gene_symbol	entrez_gene_id	hgnc_id	gene_biotype	synonyms	chromosome	description
ENSG00000084463	WBP11	51729	HGNC:16461	protein_coding	BUG13|NPWBP|PPP1R165|SIPP1	12	WW domain binding protein 11
ENSG00000084623	EIF3I	8668	HGNC:3272	protein_coding	EIF3S2|TRIP-1|TRIP1|eIF3-beta|eIF3-p36|eIF3beta|eIF3p36	1	eukaryotic translation initiation factor 3 subunit I
ENSG00000084628	NKAIN1	79570	HGNC:25743	protein_coding	FAM77C|FLJ12650	1	sodium/potassium transporting ATPase interacting 1
ENSG00000084636	COL16A1	1307	HGNC:2193	protein_coding		1	collagen type XVI alpha 1 chain
ENSG00000084652	TXLNA	200081	HGNC:30685	protein_coding	DKFZp451J0118|IL-14|IL14	1	taxilin alpha
ENSG00000084674	APOB	338	HGNC:603	protein_coding	ApoB-100|ApoB100	2	apolipoprotein B
ENSG00000084676	NCOA1	8648	HGNC:7668	protein_coding	F-SRC-1|FSRC1|KAT13A|NCoA-1|NCoA1|RIP160|SRC1|bHLHe74	2	nuclear receptor coactivator 1
ENSG00000084693	AGBL5	60509	HGNC:26147	protein_coding	CCP5|FLJ21839	2	AGBL carboxypeptidase 5
ENSG00000084710	EFR3B	22979	HGNC:29155	protein_coding	FLJ37871|KIAA0953	2	EFR3 homolog B
ENSG00000084731	KIF3C	3797	HGNC:6321	protein_coding		2	kinesin family member 3C
ENSG00000084733	RAB10	10890	HGNC:9759	protein_coding		2	RAB10, member RAS oncogene family
ENSG00000084734	GCKR	2646	HGNC:4196	protein_coding		2	glucokinase regulator
ENSG00000084754	HADHA	3030	HGNC:4801	protein_coding	GBP|LCEH|LCHAD|MTPA	2	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha
ENSG00000084764	MAPRE3	22924	HGNC:6892	protein_coding	EB3|RP3	2	microtubule associated protein RP/EB family member 3
ENSG00000084774	CAD	790	HGNC:1424	protein_coding	GATD4	2	carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase
ENSG00000085063	CD59	966	HGNC:1689	protein_coding	16.3A5|EJ16|EJ30|EL32|G344|HRF20|MACIF|MIC11|MIN1|MIN2|MIN3|MIRL|MSK21|p18-20|p1820	11	CD59 molecule (CD59 blood group)
ENSG00000085117	CD82	3732	HGNC:6210	protein_coding	IA4|KAI1|R2|ST6|TSPAN27	11	CD82 molecule
ENSG00000085185	BCORL1	63035	HGNC:25657	protein_coding	BCoR-L1|BCoRL1|CXorf10|FLJ11362	X	BCL6 corepressor like 1
ENSG00000085224	ATRX	546	HGNC:886	protein_coding	JMS|MRX52|RAD54|XH2|XNP	X	ATRX chromatin remodeler
ENSG00000085231	AK6	102157402	HGNC:49151	protein_coding	CINAP	5	adenylate kinase 6
ENSG00000085265	FCN1	2219	HGNC:3623	protein_coding	FCNM	9	ficolin 1
ENSG00000085274	MYNN	55892	HGNC:14955	protein_coding	SBBIZ1|ZBTB31|ZNF902	3	myoneurin
ENSG00000085276	MECOM	2122	HGNC:3498	protein_coding	EVI1|KMT8E|MDS1|MDS1-EVI1|MDS1EVI1|PRDM3	3	MDS1 and EVI1 complex locus
ENSG00000085365	SCAMP1	9522	HGNC:10563	protein_coding	SCAMP37	5	secretory carrier membrane protein 1
ENSG00000085377	PREP	5550	HGNC:9358	protein_coding		6	prolyl endopeptidase
ENSG00000085382	HACE1	57531	HGNC:21033	protein_coding	KIAA1320	6	HECT domain and ankyrin repeat containing E3 ubiquitin protein ligase 1
ENSG00000085415	SEH1L	81929	HGNC:30379	protein_coding	SEC13L|SEH1A|SEH1B|Seh1	18	SEH1 like nucleoporin
ENSG00000085433	WDR47	22911	HGNC:29141	protein_coding	KIAA0893	1	WD repeat domain 47
ENSG00000085449	WDFY1	57590	HGNC:20451	protein_coding	FENS-1|FENS1|KIAA1435|WDF1|ZFYVE17	2	WD repeat and FYVE domain containing 1
ENSG00000085465	OVGP1	5016	HGNC:8524	protein_coding	CHIT5|MUC9|OGP	1	oviductal glycoprotein 1
